mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
42	42	1/2	1/2	4/4	5	1	ii6/III					d	i		ii6/III	ii		6		III			m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.25	0.75	0.25
42	42	3/4	3/4	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
43	43	0	0	4/4	5	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
43	43	1/4	1/4	4/4	5	1	vi/III				IV6/III	d	i		vi/III	vi				III			m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
43	43	1/2	1/2	4/4	5	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	3	0.0	0.0	1.0	0.0
43	43	3/4	3/4	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
44	44	0	0	4/4	5	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
44	44	1/4	1/4	4/4	5	1	IV/III					d	i		IV/III	IV				III			M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
44	44	1/2	1/2	4/4	5	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	3	0.0	0.0	1.0	0.0
44	44	3/4	3/4	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
45	45	0	0	4/4	5	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
45	45	1/4	1/4	4/4	5	1	vi/III				IV6/III	d	i		vi/III	vi				III			m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
45	45	1/2	1/2	4/4	5	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	3	0.0	0.0	0.75	0.0
45	45	3/4	3/4	4/4	5	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	0	5	0.0	0.0	1.25	0.0
46	46	0	0	4/4	5	1	vi/III					d	i		vi/III	vi				III			m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	1.25	0.0
46	46	1/4	1/4	4/4	5	1	IV/III					d	i		IV/III	IV				III			M	1	1	-2, 2, -1		-2	-2	0	10	0.0	0.0	2.75	0.0
46	46	3/4	3/4	4/4	5	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
47	47	0	0	4/4	5	1	IV/III					d	i		IV/III	IV				III			M	1	1	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
47	47	1/4	1/4	4/4	5	1	viio6/III					d	i		viio6/III	vii	o	6		III			o	1	1	1, -2, 4		4	1	0	4	0.0	0.0	1.0	0.0
47	47	1/2	1/2	4/4	5	1	III\\					d	i		III	III						\\	M	1	1	-1, 3, 0		-1	-1	0	6	0.0	0.0	3.0	0.0
48	48	1/2	1/2	4/4	5	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	1.0	0.0
49	49	0	0	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	1.0	0.0
49	49	1/2	1/2	4/4	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
50	50	0	0	4/4	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
50	50	1/2	1/2	4/4	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
51	51	0	0	4/4	5	1	v				V	d	i		v	v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	1.0	0.0
51	51	1/4	1/4	4/4	5	1	iv/V					d	i		iv/V	iv				V			m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.25	0.0
51	51	1/2	1/2	4/4	5	1	V(4)/V					d	i		V(4)/V	V			4	V			M	1	1	4, 3, 5		4	4	0	1	0.0	0.0	0.25	0.0
51	51	3/4	3/4	4/4	5	1	V/V					d	i		V/V	V				V			M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
52	52	0	0	4/4	5	1	V\\					d	i		V	V						\\	M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	2.0	0.0
53	53	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	3.0	0.0
53	53	1/2	1/2	4/4	5	1	V(4)					d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	3	0.0	0.0	1.25	0.0
53	53	3/4	3/4	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
54	54	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	3.0	0.0
54	54	1/2	1/2	4/4	5	1	V65					d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3	7	0	4	0.0	0.0	2.0	0.0
55	55	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	3.0	0.0
55	55	1/2	1/2	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	2.0	0.0
56	56	0	0	4/4	5	1	i6(2)					d	i		i6(2)	i		6	2				m	1	1	-1, 3, 4		2	-1	0	5	0.0	0.0	2.375	0.0
56	56	1/4	1/4	4/4	5	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	2	2	0.5	0.25	0.625	0.2857142857142857
56	56	1/2	1/2	4/4	5	1	V(4)					d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	3	0.0	0.0	1.25	0.0
56	56	3/4	3/4	4/4	5	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
57	57	0	0	4/4	5	1	i\\				I\\	d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	5.0	0.0
58	58	0	0	4/4	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	4.0	0.0
60	60	0	0	4/4	5	1	V6/IV					d	i		V6/IV	V		6		IV			M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	2.0	0.0
60	60	1/2	1/2	4/4	5	1	V6(4)/IV	0	-5.3	/		d	i		V6(4)/IV	V		6	4	IV			M	1	1	1, 3, 2		2	1	0	2	0.0	0.0	1.0	0.0
61	61	0	0	4/4	5	1	V6(4)/IV					d	i		V6(4)/IV	V		6	4	IV			M	1	1	1, 3, 2		2	1	0	4	0.0	0.0	3.0	0.0
61	61	1/2	1/2	4/4	5	1	V6/IV					d	i		V6/IV	V		6		IV			M	1	1	6, 3, 2		2	6	0	2	0.0	0.0	1.0	0.0
62	62	0	0	4/4	5	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	4.0	0.0
62	62	1/2	1/2	4/4	5	1	V(4)/VII					d	i		V(4)/VII	V			4	VII			M	1	1	1, 0, 2		1	1	0	7	0.0	0.0	5.0	0.0
63	63	1/2	1/2	4/4	5	1	V/VII	0	-4.5	/		d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
64	64	0	0	4/4	5	1	V(6)/VII					d	i		V(6)/VII	V			6	VII			M	1	1	1, 5, 4		1	1	0	5	0.0	0.0	4.0	0.0
