mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
29	29	1/2	1/2	3/2	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	3.0	0.0
30	30	0	0	3/2	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	3	0.0	0.0	1.5	0.0
30	30	1/2	1/2	3/2	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	2.5	0.0
31	31	0	0	3/2	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.0	0.0
31	31	1/2	1/2	3/2	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	3	0.0	0.0	1.5	0.0
31	31	1	1	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	2	0.0	0.0	1.0	0.0
32	32	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
32	32	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	5	0.0	0.0	3.0	0.0
33	33	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	1.5	0.0
33	33	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	5	0.0	0.0	3.0	0.0
34	34	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	1.5	0.0
34	34	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	5	0.0	0.0	3.0	0.0
35	35	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	6	0.0	0.0	3.0	0.0
35	35	1	1	3/2	3	1	IV/VII					g	i		IV/VII	IV				VII			M	1	1	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	1.0	0.0
36	36	0	0	3/2	3	1	VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.0	0.0
36	36	1/2	1/2	3/2	3	1	V/VII					g	i		V/VII	V				VII			M	1	1	0, 4, 1		0.0	0.0	0	2	0.0	0.0	2.0	0.0
