mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
95	95	1/4	1/4	4/4	6	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0	0	1	4	0.2	0.125	0.875	0.125
95	95	1/2	1/2	4/4	6	1	V(4)		g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	5	0.0	0.0	1.875	0.0
95	95	3/4	3/4	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.625	0.0
96	96	0	0	4/4	6	1	I\\		g	i		I	I						\\	M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	5.0	0.0
97	97	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.5	3.5	0.125
99	99	0	0	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	1	3	0.25	0.25	1.25	0.16666666666666666
99	99	1/2	1/2	4/4	6	1	III		g	i		III	III							M	1	1	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
100	100	0	0	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.5	0.0
100	100	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	4	0.2	0.125	1.25	0.09090909090909091
101	101	0	0	4/4	6	1	V\\		g	i		V	V						\\	M	1	1	2, 6, 3		2	2	4	11	0.26666666666666666	0.5	3.75	0.11764705882352941
102	102	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
103	103	0	0	4/4	6	1	IV		g	i		IV	IV							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.5	0.0
